CenterPos,HKU9,Eidolon_helvum,Alternate,Alternate_ID,Query
101,0.59,0.99,0.34,Pteropus_rufus,Rousettus_madagascariensis
121,0.56,0.96,0.24,Pteropus_rufus,Rousettus_madagascariensis
141,0.57,0.96,0.24,Pteropus_rufus,Rousettus_madagascariensis
161,0.59,0.96,0.27,Pteropus_rufus,Rousettus_madagascariensis
181,0.59,0.94,0.17,Pteropus_rufus,Rousettus_madagascariensis
201,0.54,0.92,0.02,Pteropus_rufus,Rousettus_madagascariensis
221,0.51,0.91,-0.03,Pteropus_rufus,Rousettus_madagascariensis
241,0.44,0.84,-0.27,Pteropus_rufus,Rousettus_madagascariensis
261,0.43,0.82,-0.33,Pteropus_rufus,Rousettus_madagascariensis
281,0.47,0.8,-0.28,Pteropus_rufus,Rousettus_madagascariensis
301,0.51,0.77,-0.17,Pteropus_rufus,Rousettus_madagascariensis
321,0.51,0.76,-0.03,Pteropus_rufus,Rousettus_madagascariensis
341,0.5,0.75,0.05,Pteropus_rufus,Rousettus_madagascariensis
361,0.47,0.75,0.04,Pteropus_rufus,Rousettus_madagascariensis
381,0.38,0.75,0.12,Pteropus_rufus,Rousettus_madagascariensis
401,0.38,0.75,0.19,Pteropus_rufus,Rousettus_madagascariensis
421,0.37,0.74,0.19,Pteropus_rufus,Rousettus_madagascariensis
441,0.36,0.74,0.16,Pteropus_rufus,Rousettus_madagascariensis
461,0.36,0.72,0.23,Pteropus_rufus,Rousettus_madagascariensis
481,0.32,0.71,0.19,Pteropus_rufus,Rousettus_madagascariensis
501,0.32,0.75,0.18,Pteropus_rufus,Rousettus_madagascariensis
521,0.37,0.74,0.17,Pteropus_rufus,Rousettus_madagascariensis
541,0.33,0.74,0.09,Pteropus_rufus,Rousettus_madagascariensis
561,0.26,0.73,-0.02,Pteropus_rufus,Rousettus_madagascariensis
581,0.38,0.74,0.1,Pteropus_rufus,Rousettus_madagascariensis
601,0.37,0.72,0.04,Pteropus_rufus,Rousettus_madagascariensis
621,0.29,0.64,0.03,Pteropus_rufus,Rousettus_madagascariensis
641,0.37,0.68,0.22,Pteropus_rufus,Rousettus_madagascariensis
661,0.34,0.73,0.14,Pteropus_rufus,Rousettus_madagascariensis
681,0.42,0.71,0.22,Pteropus_rufus,Rousettus_madagascariensis
701,0.37,0.67,0.17,Pteropus_rufus,Rousettus_madagascariensis
721,0.4,0.71,0.18,Pteropus_rufus,Rousettus_madagascariensis
741,0.4,0.74,0.23,Pteropus_rufus,Rousettus_madagascariensis
761,0.48,0.77,0.33,Pteropus_rufus,Rousettus_madagascariensis
781,0.47,0.77,0.2,Pteropus_rufus,Rousettus_madagascariensis
801,0.48,0.8,0.2,Pteropus_rufus,Rousettus_madagascariensis
821,0.5,0.89,0.08,Pteropus_rufus,Rousettus_madagascariensis
841,0.35,0.91,-0.07,Pteropus_rufus,Rousettus_madagascariensis
861,0.43,0.92,0.02,Pteropus_rufus,Rousettus_madagascariensis
881,0.4,0.93,0.03,Pteropus_rufus,Rousettus_madagascariensis
901,0.4,0.93,-0.02,Pteropus_rufus,Rousettus_madagascariensis
921,0.42,0.92,-0.07,Pteropus_rufus,Rousettus_madagascariensis
941,0.46,0.91,-0.11,Pteropus_rufus,Rousettus_madagascariensis
961,0.5,0.9,-0.18,Pteropus_rufus,Rousettus_madagascariensis
981,0.42,0.9,-0.11,Pteropus_rufus,Rousettus_madagascariensis
1001,0.45,0.92,-0.05,Pteropus_rufus,Rousettus_madagascariensis
1021,0.44,0.92,0.02,Pteropus_rufus,Rousettus_madagascariensis
1041,0.51,0.91,0.06,Pteropus_rufus,Rousettus_madagascariensis
1061,0.45,0.9,-0.01,Pteropus_rufus,Rousettus_madagascariensis
1081,0.46,0.92,-0.12,Pteropus_rufus,Rousettus_madagascariensis
1101,0.45,0.91,-0.09,Pteropus_rufus,Rousettus_madagascariensis
1121,0.4,0.93,-0.03,Pteropus_rufus,Rousettus_madagascariensis
1141,0.32,0.94,-0.02,Pteropus_rufus,Rousettus_madagascariensis
1161,0.24,0.94,0.1,Pteropus_rufus,Rousettus_madagascariensis
1181,0.39,0.95,0.09,Pteropus_rufus,Rousettus_madagascariensis
1201,0.36,0.95,0.13,Pteropus_rufus,Rousettus_madagascariensis
1221,0.28,0.93,0.04,Pteropus_rufus,Rousettus_madagascariensis
1241,0.29,0.94,0.07,Pteropus_rufus,Rousettus_madagascariensis
1261,0.25,0.93,0.14,Pteropus_rufus,Rousettus_madagascariensis
1281,0.21,0.91,0.13,Pteropus_rufus,Rousettus_madagascariensis
1301,0.21,0.91,0.09,Pteropus_rufus,Rousettus_madagascariensis
1321,0.22,0.9,0.01,Pteropus_rufus,Rousettus_madagascariensis
1341,0.34,0.92,0.09,Pteropus_rufus,Rousettus_madagascariensis
1361,0.39,0.93,-0.07,Pteropus_rufus,Rousettus_madagascariensis
1381,0.38,0.92,-0.13,Pteropus_rufus,Rousettus_madagascariensis
1401,0.43,0.92,-0.24,Pteropus_rufus,Rousettus_madagascariensis
1421,0.5,0.92,-0.17,Pteropus_rufus,Rousettus_madagascariensis
1441,0.5,0.91,-0.09,Pteropus_rufus,Rousettus_madagascariensis
1461,0.52,0.92,-0.19,Pteropus_rufus,Rousettus_madagascariensis
1481,0.45,0.94,-0.21,Pteropus_rufus,Rousettus_madagascariensis
1501,0.49,0.93,-0.18,Pteropus_rufus,Rousettus_madagascariensis
1521,0.4,0.93,-0.28,Pteropus_rufus,Rousettus_madagascariensis
1541,0.32,0.93,-0.45,Pteropus_rufus,Rousettus_madagascariensis
1561,0.17,0.92,-0.53,Pteropus_rufus,Rousettus_madagascariensis
1581,0.07,0.92,-0.44,Pteropus_rufus,Rousettus_madagascariensis
1601,-0.03,0.91,-0.48,Pteropus_rufus,Rousettus_madagascariensis
1621,-0.09,0.92,-0.39,Pteropus_rufus,Rousettus_madagascariensis
1641,-0.2,0.9,-0.72,Pteropus_rufus,Rousettus_madagascariensis
1661,-0.17,0.9,-0.53,Pteropus_rufus,Rousettus_madagascariensis
1681,-0.05,0.89,-0.48,Pteropus_rufus,Rousettus_madagascariensis
1701,-0.16,0.91,-0.35,Pteropus_rufus,Rousettus_madagascariensis
1721,-0.03,0.92,-0.23,Pteropus_rufus,Rousettus_madagascariensis
1741,-0.05,0.9,-0.26,Pteropus_rufus,Rousettus_madagascariensis
1761,-0.01,0.91,-0.1,Pteropus_rufus,Rousettus_madagascariensis
1781,-0.17,0.92,-0.33,Pteropus_rufus,Rousettus_madagascariensis
1801,-0.17,0.94,-0.31,Pteropus_rufus,Rousettus_madagascariensis
1821,-0.07,0.93,-0.29,Pteropus_rufus,Rousettus_madagascariensis
1841,-0.05,0.96,-0.11,Pteropus_rufus,Rousettus_madagascariensis
1861,-0.15,0.97,-0.33,Pteropus_rufus,Rousettus_madagascariensis
1881,-0.23,0.97,-0.36,Pteropus_rufus,Rousettus_madagascariensis
1901,-0.23,0.97,-0.36,Pteropus_rufus,Rousettus_madagascariensis
1921,-0.44,0.96,-0.56,Pteropus_rufus,Rousettus_madagascariensis
1941,-0.34,0.97,-0.66,Pteropus_rufus,Rousettus_madagascariensis
1961,-0.26,0.97,-1.14,Pteropus_rufus,Rousettus_madagascariensis
1981,-0.07,0.96,-0.89,Pteropus_rufus,Rousettus_madagascariensis
2001,-0.14,0.96,-1.11,Pteropus_rufus,Rousettus_madagascariensis
2021,-0.09,0.96,-1.16,Pteropus_rufus,Rousettus_madagascariensis
2041,-0.11,0.96,-1.82,Pteropus_rufus,Rousettus_madagascariensis
2061,-0.25,0.97,-1.46,Pteropus_rufus,Rousettus_madagascariensis
2081,-0.17,0.96,-1.2,Pteropus_rufus,Rousettus_madagascariensis
2101,-0.07,0.94,-1.05,Pteropus_rufus,Rousettus_madagascariensis
2121,0.14,0.93,-0.98,Pteropus_rufus,Rousettus_madagascariensis
2141,0.04,0.9,-0.94,Pteropus_rufus,Rousettus_madagascariensis
2161,0.05,0.89,-0.56,Pteropus_rufus,Rousettus_madagascariensis
2181,0.08,0.89,-0.48,Pteropus_rufus,Rousettus_madagascariensis
2201,-0.01,0.87,-0.51,Pteropus_rufus,Rousettus_madagascariensis
2221,0.07,0.87,-0.33,Pteropus_rufus,Rousettus_madagascariensis
2241,0.16,0.86,-0.19,Pteropus_rufus,Rousettus_madagascariensis
2261,0.29,0.86,-0.27,Pteropus_rufus,Rousettus_madagascariensis
2281,0.31,0.87,-0.3,Pteropus_rufus,Rousettus_madagascariensis
2301,0.29,0.89,-0.67,Pteropus_rufus,Rousettus_madagascariensis
2321,0.24,0.9,-0.66,Pteropus_rufus,Rousettus_madagascariensis
2341,0.32,0.9,-0.54,Pteropus_rufus,Rousettus_madagascariensis
2361,0.37,0.9,-0.6,Pteropus_rufus,Rousettus_madagascariensis
2381,0.43,0.9,-0.46,Pteropus_rufus,Rousettus_madagascariensis
2401,0.52,0.91,-0.27,Pteropus_rufus,Rousettus_madagascariensis
2421,0.47,0.92,-0.39,Pteropus_rufus,Rousettus_madagascariensis
