FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig4\SimPlot\AlignAllNobecoMinusInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China","HM211099_1_HKU_9_5_1_Rousettus_leschenaulti_China","HM211098_1_HKU_9_5_1_Rhinolphus_sinicus_China","MG762674_1_HKU9_Rousettus_sp_China","MG693170_1_Eidolon_helvum_Cameroon","EF065514_1_HKU_9_2_Rousettus_leschenaulti_China","HM211100_1_HKU_9_10_1_Rousettus_leschenaulti_China","EF065515_1_HKU_9_3_Rousettus_leschenaulti_China","EF065516_1_HKU_9_4_Rousettus_leschenaulti_China"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon","MG693172_1_Eidolon_helvum_Cameroon","MG693171_1_Eidolon_helvum_Cameroon","MG693169_1_Eidolon_helvum_Cameroon"
"Query","Rousettus_madagascariensis"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_new"


"CenterPos","HKU9","Eidolon_helvum","Pteropus_rufus"
"101","0.59","0.99","0.34"
"121","0.56","0.96","0.24"
"141","0.57","0.96","0.24"
"161","0.59","0.96","0.27"
"181","0.59","0.94","0.17"
"201","0.54","0.92","0.02"
"221","0.51","0.91","-0.03"
"241","0.44","0.84","-0.27"
"261","0.43","0.82","-0.33"
"281","0.47","0.80","-0.28"
"301","0.51","0.77","-0.17"
"321","0.51","0.76","-0.03"
"341","0.50","0.75","0.05"
"361","0.47","0.75","0.04"
"381","0.38","0.75","0.12"
"401","0.38","0.75","0.19"
"421","0.37","0.74","0.19"
"441","0.36","0.74","0.16"
"461","0.36","0.72","0.23"
"481","0.32","0.71","0.19"
"501","0.32","0.75","0.18"
"521","0.37","0.74","0.17"
"541","0.33","0.74","0.09"
"561","0.26","0.73","-0.02"
"581","0.38","0.74","0.10"
"601","0.37","0.72","0.04"
"621","0.29","0.64","0.03"
"641","0.37","0.68","0.22"
"661","0.34","0.73","0.14"
"681","0.42","0.71","0.22"
"701","0.37","0.67","0.17"
"721","0.40","0.71","0.18"
"741","0.40","0.74","0.23"
"761","0.48","0.77","0.33"
"781","0.47","0.77","0.20"
"801","0.48","0.80","0.20"
"821","0.50","0.89","0.08"
"841","0.35","0.91","-0.07"
"861","0.43","0.92","0.02"
"881","0.40","0.93","0.03"
"901","0.40","0.93","-0.02"
"921","0.42","0.92","-0.07"
"941","0.46","0.91","-0.11"
"961","0.50","0.90","-0.18"
"981","0.42","0.90","-0.11"
"1001","0.45","0.92","-0.05"
"1021","0.44","0.92","0.02"
"1041","0.51","0.91","0.06"
"1061","0.45","0.90","-0.01"
"1081","0.46","0.92","-0.12"
"1101","0.45","0.91","-0.09"
"1121","0.40","0.93","-0.03"
"1141","0.32","0.94","-0.02"
"1161","0.24","0.94","0.10"
"1181","0.39","0.95","0.09"
"1201","0.36","0.95","0.13"
"1221","0.28","0.93","0.04"
"1241","0.29","0.94","0.07"
"1261","0.25","0.93","0.14"
"1281","0.21","0.91","0.13"
"1301","0.21","0.91","0.09"
"1321","0.22","0.90","0.01"
"1341","0.34","0.92","0.09"
"1361","0.39","0.93","-0.07"
"1381","0.38","0.92","-0.13"
"1401","0.43","0.92","-0.24"
"1421","0.50","0.92","-0.17"
"1441","0.50","0.91","-0.09"
"1461","0.52","0.92","-0.19"
"1481","0.45","0.94","-0.21"
"1501","0.49","0.93","-0.18"
"1521","0.40","0.93","-0.28"
"1541","0.32","0.93","-0.45"
"1561","0.17","0.92","-0.53"
"1581","0.07","0.92","-0.44"
"1601","-0.03","0.91","-0.48"
"1621","-0.09","0.92","-0.39"
"1641","-0.20","0.90","-0.72"
"1661","-0.17","0.90","-0.53"
"1681","-0.05","0.89","-0.48"
"1701","-0.16","0.91","-0.35"
"1721","-0.03","0.92","-0.23"
"1741","-0.05","0.90","-0.26"
"1761","-0.01","0.91","-0.10"
"1781","-0.17","0.92","-0.33"
"1801","-0.17","0.94","-0.31"
"1821","-0.07","0.93","-0.29"
"1841","-0.05","0.96","-0.11"
"1861","-0.15","0.97","-0.33"
"1881","-0.23","0.97","-0.36"
"1901","-0.23","0.97","-0.36"
"1921","-0.44","0.96","-0.56"
"1941","-0.34","0.97","-0.66"
"1961","-0.26","0.97","-1.14"
"1981","-0.07","0.96","-0.89"
"2001","-0.14","0.96","-1.11"
"2021","-0.09","0.96","-1.16"
"2041","-0.11","0.96","-1.82"
"2061","-0.25","0.97","-1.46"
"2081","-0.17","0.96","-1.20"
"2101","-0.07","0.94","-1.05"
"2121","0.14","0.93","-0.98"
"2141","0.04","0.90","-0.94"
"2161","0.05","0.89","-0.56"
"2181","0.08","0.89","-0.48"
"2201","-0.01","0.87","-0.51"
