FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentNoInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a_-_NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b_-_NC_048212_1_Eidolon_helvum_Cameroon_-_S_-_NC_048212_1_Eidolon_helvum_Cameroon_-_NS3_-_NC_048212_1_Eidolon_helvum_Cameroon_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1a_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1b_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_S_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_NS3_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"


"CenterPos","Eidolon_helvum","Pteropus_rufus","HKU9"
"101","1.00","1.00","1.00"
"121","1.00","1.00","1.00"
"141","1.00","1.00","1.00"
"161","1.00","1.00","1.00"
"181","1.00","1.00","1.00"
"201","1.00","1.00","1.00"
"221","1.00","1.00","1.00"
"241","1.00","1.00","1.00"
"261","1.00","0.48","0.82"
"281","1.00","0.48","0.82"
"301","1.00","0.59","0.81"
"321","1.00","0.63","0.78"
"341","1.00","0.62","0.79"
"361","1.00","0.59","0.70"
"381","1.00","0.59","0.70"
"401","1.00","0.59","0.70"
"421","1.00","0.59","0.70"
"441","1.00","0.59","0.70"
"461","1.00","0.59","0.70"
"481","1.00","0.59","0.70"
"501","1.00","0.59","0.70"
"521","1.00","0.59","0.70"
"541","1.00","0.59","0.70"
"561","1.00","0.59","0.70"
"581","1.00","0.59","0.70"
"601","1.00","0.59","0.70"
"621","1.00","0.59","0.70"
"641","1.00","0.59","0.70"
"661","1.00","0.59","0.70"
"681","1.00","0.59","0.70"
"701","1.00","0.59","0.70"
"721","1.00","0.59","0.70"
"741","1.00","0.59","0.70"
"761","1.00","0.59","0.70"
"781","1.00","0.59","0.70"
"801","1.00","0.59","0.70"
"821","1.00","0.59","0.70"
"841","1.00","0.59","0.70"
"861","1.00","0.59","0.70"
"881","1.00","0.59","0.70"
"901","1.00","0.59","0.70"
"921","1.00","0.59","0.70"
"941","1.00","0.59","0.70"
"961","1.00","0.59","0.70"
"981","1.00","0.59","0.70"
"1001","1.00","0.59","0.70"
"1021","1.00","0.59","0.70"
"1041","1.00","0.59","0.70"
"1061","1.00","0.59","0.70"
"1081","1.00","0.59","0.70"
"1101","1.00","0.59","0.70"
"1121","1.00","0.59","0.70"
"1141","1.00","0.59","0.70"
"1161","1.00","0.59","0.70"
"1181","1.00","0.59","0.70"
"1201","1.00","0.59","0.70"
"1221","1.00","0.59","0.70"
"1241","1.00","0.59","0.70"
"1261","1.00","0.59","0.70"
"1281","1.00","0.59","0.70"
"1301","1.00","0.59","0.70"
"1321","1.00","0.59","0.70"
"1341","1.00","0.59","0.70"
"1361","1.00","0.49","0.82"
"1381","1.00","0.51","0.82"
"1401","1.00","0.55","0.80"
"1421","1.00","0.60","0.75"
"1441","1.00","0.64","0.70"
"1461","1.00","0.55","0.68"
"1481","1.00","0.62","0.70"
"1501","1.00","0.53","0.65"
"1521","1.00","0.50","0.67"
"1541","0.98","0.56","0.63"
"1561","0.99","0.57","0.71"
"1581","0.99","0.50","0.70"
"1601","0.99","0.53","0.74"
"1621","0.99","0.53","0.77"
"1641","0.99","0.58","0.78"
"1661","0.99","0.67","0.82"
"1681","0.99","0.57","0.79"
"1701","0.99","0.63","0.81"
"1721","0.99","0.64","0.83"
"1741","1.00","0.63","0.85"
"1761","1.00","0.65","0.81"
"1781","1.00","0.70","0.81"
"1801","1.00","0.67","0.78"
"1821","1.00","0.65","0.79"
"1841","1.00","0.55","0.76"
"1861","0.99","0.50","0.72"
"1881","0.99","0.50","0.72"
"1901","0.99","0.50","0.72"
"1921","0.99","0.50","0.72"
"1941","0.99","0.50","0.72"
"1961","0.99","0.50","0.72"
"1981","0.99","0.50","0.72"
"2001","0.99","0.50","0.72"
"2021","0.99","0.50","0.72"
"2041","0.99","0.50","0.72"
"2061","0.99","0.50","0.72"
"2081","0.99","0.50","0.72"
"2101","0.99","0.50","0.72"
"2121","0.99","0.50","0.72"
"2141","0.99","0.50","0.72"
"2161","0.99","0.50","0.72"
"2181","0.99","0.50","0.72"
"2201","0.99","0.50","0.72"
"2221","0.99","0.50","0.72"
"2241","0.99","0.50","0.72"
"2261","1.00","0.72","0.94"
"2281","1.00","0.76","0.93"
"2301","1.00","0.80","0.93"
"2321","1.00","0.78","0.91"
"2341","1.00","0.74","0.90"
"2361","1.00","0.69","0.85"
"2381","1.00","0.73","0.84"
"2401","1.00","0.70","0.84"
"2421","1.00","0.68","0.83"
"2441","1.00","0.68","0.81"
"2461","1.00","0.69","0.78"
"2481","1.00","0.71","0.79"
"2501","1.00","0.68","0.77"
"2521","1.00","0.68","0.74"
"2541","1.00","0.71","0.75"
"2561","1.00","0.77","0.82"
"2581","0.99","0.74","0.80"
"2601","0.99","0.76","0.82"
"2621","0.99","0.77","0.81"
"2641","0.97","0.80","0.77"
"2661","0.97","0.82","0.74"
"2681","0.97","0.78","0.74"
"2701","0.97","0.75","0.69"
"2721","0.96","0.74","0.73"
"2741","0.96","0.69","0.71"
"2761","0.96","0.62","0.64"
"2781","0.97","0.63","0.65"
"2801","0.97","0.66","0.68"
"2821","0.97","0.64","0.69"
"2841","0.99","0.62","0.74"
"2861","0.99","0.60","0.73"
"2881","0.99","0.63","0.74"
"2901","0.99","0.62","0.74"
"2921","0.99","0.62","0.74"
"2941","0.99","0.62","0.74"
"2961","0.99","0.62","0.74"
"2981","0.99","0.62","0.74"
"3001","0.99","0.62","0.74"
"3021","0.99","0.62","0.74"
"3041","1.00","0.68","0.76"
"3061","1.00","0.70","0.80"
"3081","1.00","0.70","0.72"
"3101","1.00","0.75","0.78"
"3121","1.00","0.82","0.80"
"3141","1.00","0.79","0.81"
"3161","1.00","0.82","0.80"
"3181","1.00","0.81","0.81"
"3201","1.00","0.85","0.82"
"3221","1.00","0.82","0.85"
"3241","1.00","0.80","0.85"
"3261","1.00","0.82","0.87"
"3281","1.00","0.84","0.92"
"3301","1.00","0.80","0.89"
"3321","1.00","0.73","0.84"
"3341","1.00","0.74","0.83"
"3361","1.00","0.67","0.79"
"3381","1.00","0.72","0.80"
"3401","1.00","0.67","0.76"
"3421","1.00","0.67","0.76"
"3441","1.00","0.67","0.76"
"3461","1.00","0.67","0.76"
"3481","1.00","0.67","0.76"
"3501","1.00","0.67","0.76"
"3521","1.00","0.67","0.76"
"3541","1.00","0.67","0.76"
"3561","1.00","0.67","0.76"
"3581","1.00","0.67","0.76"
"3601","1.00","0.67","0.76"
"3621","0.97","0.47","0.63"
"3641","0.99","0.59","0.67"
"3661","0.99","0.70","0.77"
"3681","0.99","0.68","0.81"
"3701","0.99","0.69","0.84"
"3721","0.99","0.68","0.86"
"3741","1.00","0.78","0.94"
"3761","1.00","0.72","0.90"
"3781","1.00","0.70","0.92"
"3801","1.00","0.72","0.94"
"3821","1.00","0.76","0.93"
"3841","1.00","0.73","0.92"
"3861","1.00","0.71","0.92"
"3881","1.00","0.74","0.92"
"3901","1.00","0.74","0.90"
"3921","1.00","0.71","0.88"
"3941","1.00","0.68","0.88"
"3961","1.00","0.70","0.91"
"3981","1.00","0.65","0.88"
"4001","1.00","0.66","0.83"
"4021","1.00","0.65","0.82"
"4041","1.00","0.69","0.82"
"4061","1.00","0.71","0.83"
"4081","1.00","0.69","0.81"
"4101","1.00","0.74","0.82"
"4121","1.00","0.78","0.87"
"4141","1.00","0.82","0.88"
"4161","1.00","0.84","0.88"
"4181","1.00","0.88","0.91"
"4201","1.00","0.88","0.94"
"4221","1.00","0.87","0.95"
"4241","1.00","0.85","0.96"
"4261","1.00","0.87","0.96"
"4281","1.00","0.90","0.99"
"4301","1.00","0.90","0.99"
"4321","1.00","0.91","0.96"
"4341","1.00","0.87","0.95"
"4361","1.00","0.85","0.95"
"4381","1.00","0.88","0.95"
"4401","1.00","0.88","0.97"
"4421","1.00","0.90","0.97"
"4441","1.00","0.90","0.97"
"4461","1.00","0.85","0.96"
"4481","1.00","0.85","0.96"
"4501","1.00","0.84","0.94"
"4521","1.00","0.86","0.97"
"4541","1.00","0.89","0.97"
"4561","1.00","0.93","0.97"
"4581","1.00","0.93","0.96"
"4601","1.00","0.93","0.96"
"4621","1.00","0.93","0.96"
"4641","1.00","0.95","0.95"
"4661","1.00","0.99","0.95"
"4681","1.00","0.97","0.95"
"4701","1.00","0.97","0.96"
"4721","1.00","0.97","0.96"
"4741","1.00","0.97","0.96"
"4761","1.00","0.98","0.96"
"4781","1.00","0.96","0.98"
"4801","1.00","0.95","0.98"
"4821","1.00","0.95","0.98"
"4841","1.00","0.95","0.99"
"4861","1.00","0.95","0.98"
"4881","1.00","0.97","0.98"
"4901","1.00","0.97","0.98"
"4921","1.00","0.96","0.98"
"4941","1.00","0.93","0.97"
"4961","1.00","0.92","0.97"
"4981","1.00","0.90","0.95"
"5001","1.00","0.91","0.94"
"5021","1.00","0.91","0.93"
"5041","1.00","0.91","0.93"
