FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig4\SimPlot\AlignAllNobecoMinusInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China","HM211099_1_HKU_9_5_1_Rousettus_leschenaulti_China","HM211098_1_HKU_9_5_1_Rhinolphus_sinicus_China","MG762674_1_HKU9_Rousettus_sp_China","MG693170_1_Eidolon_helvum_Cameroon","EF065514_1_HKU_9_2_Rousettus_leschenaulti_China","HM211100_1_HKU_9_10_1_Rousettus_leschenaulti_China","EF065515_1_HKU_9_3_Rousettus_leschenaulti_China","EF065516_1_HKU_9_4_Rousettus_leschenaulti_China"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon","MG693172_1_Eidolon_helvum_Cameroon","MG693171_1_Eidolon_helvum_Cameroon","MG693169_1_Eidolon_helvum_Cameroon"
"Query","Rousettus_madagascariensis"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_new"


"CenterPos","HKU9","Eidolon_helvum","Pteropus_rufus"
"100","0","100","0"
"120","0","100","0"
"140","0","100","0"
"160","0","100","0"
"180","0","100","0"
"200","0","100","0"
"220","0","100","0"
"240","0","100","0"
"260","0","100","0"
"280","0","100","0"
"300","1","99","0"
"320","1","99","0"
"340","0","100","0"
"360","0","100","0"
"380","0","100","0"
"400","1","99","0"
"420","0","100","0"
"440","0","100","0"
"460","0","100","0"
"480","0","100","0"
"500","0","100","0"
"520","0","100","0"
"540","0","100","0"
"560","0","100","0"
"580","0","100","0"
"600","0","99","1"
"620","0","93","7"
"640","0","82","18"
"660","0","96","4"
"680","0","78","22"
"700","0","79","21"
"720","0","90","10"
"740","1","83","16"
"760","0","73","27"
"780","0","98","2"
"800","0","82","18"
"820","0","100","0"
"840","0","100","0"
"860","0","100","0"
"880","0","100","0"
"900","0","100","0"
"920","0","100","0"
"940","0","100","0"
"960","0","100","0"
"980","1","99","0"
"1000","0","100","0"
"1020","0","100","0"
"1040","0","100","0"
"1060","1","98","1"
"1080","1","95","4"
"1100","2","94","4"
"1120","2","90","8"
"1140","0","96","4"
"1160","1","93","6"
"1180","1","94","5"
"1200","7","82","11"
"1220","6","88","6"
"1240","1","99","0"
"1260","1","99","0"
"1280","0","99","1"
"1300","0","100","0"
"1320","0","100","0"
"1340","0","99","1"
"1360","2","98","0"
