FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\ORF1a_Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1a","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1a"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a"
"Query","Pteropus_rufus"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","GX2018-BtCoV92","GCCDC1","HKU9"
"101","1.00","1.00","1.00","1.00","1.00"
"121","1.00","1.00","1.00","1.00","1.00"
"141","1.00","1.00","1.00","1.00","1.00"
"161","1.00","1.00","1.00","1.00","1.00"
"181","1.00","1.00","1.00","1.00","1.00"
"201","1.00","1.00","1.00","1.00","1.00"
"221","1.00","1.00","1.00","1.00","1.00"
"241","1.00","1.00","1.00","1.00","1.00"
"261","1.00","1.00","1.00","1.00","1.00"
"281","1.00","1.00","1.00","1.00","1.00"
"301","1.00","1.00","1.00","1.00","1.00"
"321","0.66","0.66","0.71","0.67","0.73"
"341","0.66","0.66","0.71","0.67","0.73"
"361","0.66","0.66","0.71","0.67","0.73"
"381","0.66","0.66","0.71","0.67","0.73"
"401","0.66","0.66","0.71","0.67","0.73"
"421","0.66","0.66","0.71","0.67","0.73"
"441","0.66","0.66","0.71","0.67","0.73"
"461","0.66","0.66","0.71","0.67","0.73"
"481","0.66","0.66","0.71","0.67","0.73"
"501","0.66","0.66","0.71","0.67","0.73"
"521","0.66","0.66","0.71","0.67","0.73"
"541","0.66","0.66","0.71","0.67","0.73"
"561","0.66","0.66","0.71","0.67","0.73"
"581","0.66","0.66","0.71","0.67","0.73"
"601","0.66","0.66","0.71","0.67","0.73"
"621","0.66","0.66","0.71","0.67","0.73"
"641","0.66","0.66","0.71","0.67","0.73"
"661","0.66","0.66","0.71","0.67","0.73"
"681","0.66","0.66","0.71","0.67","0.73"
"701","0.66","0.66","0.71","0.67","0.73"
"721","0.66","0.66","0.71","0.67","0.73"
"741","0.66","0.66","0.71","0.67","0.73"
"761","0.66","0.66","0.71","0.67","0.73"
"781","0.66","0.66","0.71","0.67","0.73"
"801","0.66","0.66","0.71","0.67","0.73"
"821","0.66","0.66","0.71","0.67","0.73"
"841","0.66","0.66","0.71","0.67","0.73"
"861","0.66","0.66","0.71","0.67","0.73"
"881","0.66","0.66","0.71","0.67","0.73"
"901","0.66","0.66","0.71","0.67","0.73"
"921","0.66","0.66","0.71","0.67","0.73"
"941","0.66","0.66","0.71","0.67","0.73"
"961","0.66","0.66","0.71","0.67","0.73"
"981","0.66","0.66","0.71","0.67","0.73"
"1001","0.66","0.66","0.71","0.67","0.73"
"1021","0.66","0.66","0.71","0.67","0.73"
"1041","0.66","0.66","0.71","0.67","0.73"
"1061","0.66","0.66","0.71","0.67","0.73"
"1081","0.66","0.66","0.71","0.67","0.73"
"1101","0.66","0.66","0.71","0.67","0.73"
"1121","0.66","0.66","0.71","0.67","0.73"
"1141","0.66","0.66","0.71","0.67","0.73"
"1161","0.66","0.66","0.71","0.67","0.73"
"1181","0.66","0.66","0.71","0.67","0.73"
"1201","0.66","0.66","0.71","0.67","0.73"
"1221","0.66","0.66","0.71","0.67","0.73"
"1241","0.66","0.66","0.71","0.67","0.73"
"1261","0.66","0.66","0.71","0.67","0.73"
"1281","0.66","0.66","0.71","0.67","0.73"
"1301","0.66","0.66","0.71","0.67","0.73"
"1321","0.66","0.66","0.71","0.67","0.73"
