RR034B_308_NODE_75_length_800_cov_2.969128	18	33.962	53	3.82e-04	37.0	0	YP_009924421	|nsp14 [Rabbit coronavirus HKU14]
RR034B_308_NODE_1522_length_261_cov_2.364078	28	32.941	85	1.42e-04	34.3	0	YP_009824966	|ORF1a protein [NL63-related bat coronavirus]
RR034B_308_NODE_1522_length_261_cov_2.364078	28	32.941	85	1.54e-04	34.3	0	YP_009824965	|ORF1ab protein [NL63-related bat coronavirus]
RR034B_308_NODE_1522_length_261_cov_2.364078	14	42.424	33	5.31e-04	32.7	0	YP_009194638	|polyprotein ORF1a [Camel alphacoronavirus]
RR034B_308_NODE_1522_length_261_cov_2.364078	14	42.424	33	5.71e-04	32.7	0	YP_009194637	|polyprotein ORF1ab [Camel alphacoronavirus]
RR034B_308_NODE_4286_length_226_cov_1.567251	13	36.111	36	1.01e-04	34.3	0	YP_003766	|replicase polyprotein 1ab [Human coronavirus NL63]
RR034B_309_NODE_311_length_393_cov_1.076923	21	37.500	56	8.62e-04	33.5	0	YP_008439200	|replicase polyprotein 1ab [Bat coronavirus CDPHE15/USA/2006]
RR034B_309_NODE_311_length_393_cov_1.076923	21	37.500	56	8.73e-04	33.5	0	YP_008439201	|replicase polyprotein 1a [Bat coronavirus CDPHE15/USA/2006]
RR034B_309_NODE_581_length_309_cov_0.791339	18	34.615	52	5.70e-04	33.1	0	YP_001351683	|ORF1 [Scotophilus bat coronavirus 512]
RR034B_309_NODE_3334_length_234_cov_2.033520	16	50.000	32	8.61e-04	31.6	0	YP_006908641	|orf1ab polyprotein [Rousettus bat coronavirus HKU10]
RR034B_309_NODE_4161_length_224_cov_1.479290	16	43.243	37	0.001	31.6	0	NP_839967	|putative coronavirus nsp11 [Porcine epidemic diarrhea virus]
RR034B_309_NODE_4484_length_221_cov_1.096386	12	63.158	19	4.45e-04	32.3	0	YP_009824965	|ORF1ab protein [NL63-related bat coronavirus]
RR034B_309_NODE_4484_length_221_cov_1.096386	12	63.158	19	4.75e-04	32.3	0	YP_009824966	|ORF1a protein [NL63-related bat coronavirus]
RR034B_310_NODE_3243_length_236_cov_1.005525	19	38.776	49	6.14e-04	32.3	0	YP_001718610	|ORF1ab polyprotein [Miniopterus bat coronavirus HKU8]
RR034B_310_NODE_4604_length_217_cov_1.679012	14	42.424	33	8.42e-04	31.6	0	YP_006908642	|spike glycoprotein [Rousettus bat coronavirus HKU10]
RR034B_310_NODE_5056_length_212_cov_1.159236	16	34.043	47	7.83e-04	31.6	0	YP_004070193	|polyprotein ab [Feline infectious peritonitis virus]
RR034B_310_NODE_5056_length_212_cov_1.159236	16	34.043	47	8.10e-04	31.6	0	YP_009199241	|replicase polyprotein 1b, partial [Swine enteric coronavirus]
RR034B_310_NODE_5298_length_209_cov_1.181818	17	45.946	37	1.36e-04	33.5	0	YP_009924379	|nsp13 [Rat coronavirus Parker]
RR034B_310_NODE_5298_length_209_cov_1.181818	17	42.500	40	1.98e-04	33.1	0	YP_009924420	|nsp13 [Rabbit coronavirus HKU14]
RR034B_312_NODE_491_length_346_cov_1.288660	25	28.409	88	9.79e-05	35.8	0	YP_009256196	|ORF1a [Ferret coronavirus]
