CenterPos,Eidolon_helvum,GX2018-BtCoV92,HKU9,GCCDC1,Alternate,Alternate_ID,Query
101,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
121,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
141,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
161,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
181,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
201,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
221,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
241,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
261,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
281,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
301,1,1,1,1,1,Pteropus_rufus,Rousettus_madagascariensis
321,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
341,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
361,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
381,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
401,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
421,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
441,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
461,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
481,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
501,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
521,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
541,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
561,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
581,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
601,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
621,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
641,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
661,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
681,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
