FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentWNS7.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a_-_NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b_-_NC_048212_1_Eidolon_helvum_Cameroon_-_S_-_NC_048212_1_Eidolon_helvum_Cameroon_-_NS3_-_NC_048212_1_Eidolon_helvum_Cameroon_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1b_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_S_and_4_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1a_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1b_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_S_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_NS3_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1b_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_S_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"


"CenterPos","Eidolon_helvum","GX2018-BtCoV92","Pteropus_rufus","HKU9","GCCDC1"
"101","1.00","1.00","1.00","1.00","1.00"
"121","1.00","1.00","1.00","1.00","1.00"
"141","1.00","1.00","1.00","1.00","1.00"
"161","1.00","1.00","1.00","1.00","1.00"
"181","1.00","1.00","1.00","1.00","1.00"
"201","1.00","1.00","1.00","1.00","1.00"
"221","1.00","1.00","1.00","1.00","1.00"
"241","1.00","1.00","1.00","1.00","1.00"
"261","1.00","1.00","1.00","1.00","1.00"
"281","1.00","1.00","1.00","1.00","1.00"
"301","1.00","1.00","1.00","1.00","1.00"
"321","1.00","0.79","0.66","0.80","0.86"
"341","1.00","0.79","0.66","0.80","0.86"
"361","1.00","0.79","0.66","0.80","0.86"
"381","1.00","0.79","0.66","0.80","0.86"
"401","1.00","0.79","0.66","0.80","0.86"
"421","1.00","0.79","0.66","0.80","0.86"
"441","1.00","0.79","0.66","0.80","0.86"
"461","1.00","0.79","0.66","0.80","0.86"
"481","1.00","0.79","0.66","0.80","0.86"
"501","1.00","0.79","0.66","0.80","0.86"
"521","1.00","0.79","0.66","0.80","0.86"
"541","1.00","0.79","0.66","0.80","0.86"
"561","1.00","0.79","0.66","0.80","0.86"
"581","1.00","0.79","0.66","0.80","0.86"
"601","1.00","0.79","0.66","0.80","0.86"
"621","1.00","0.79","0.66","0.80","0.86"
"641","1.00","0.79","0.66","0.80","0.86"
"661","1.00","0.79","0.66","0.80","0.86"
"681","1.00","0.79","0.66","0.80","0.86"
"701","1.00","0.79","0.66","0.80","0.86"
"721","1.00","0.79","0.66","0.80","0.86"
"741","1.00","0.79","0.66","0.80","0.86"
"761","1.00","0.79","0.66","0.80","0.86"
"781","1.00","0.79","0.66","0.80","0.86"
"801","1.00","0.79","0.66","0.80","0.86"
"821","1.00","0.79","0.66","0.80","0.86"
"841","1.00","0.79","0.66","0.80","0.86"
"861","1.00","0.79","0.66","0.80","0.86"
"881","1.00","0.79","0.66","0.80","0.86"
"901","1.00","0.79","0.66","0.80","0.86"
"921","1.00","0.79","0.66","0.80","0.86"
"941","1.00","0.79","0.66","0.80","0.86"
"961","1.00","0.79","0.66","0.80","0.86"
"981","1.00","0.79","0.66","0.80","0.86"
"1001","1.00","0.79","0.66","0.80","0.86"
"1021","1.00","0.79","0.66","0.80","0.86"
"1041","1.00","0.79","0.66","0.80","0.86"
"1061","1.00","0.79","0.66","0.80","0.86"
"1081","1.00","0.79","0.66","0.80","0.86"
"1101","1.00","0.79","0.66","0.80","0.86"
"1121","1.00","0.79","0.66","0.80","0.86"
