CenterPos,Eidolon_helvum,HKU9,Alternate,Alternate_ID,Query
101,1,1,1,Pteropus_rufus,R_madagascariensis
121,1,1,1,Pteropus_rufus,R_madagascariensis
141,1,1,1,Pteropus_rufus,R_madagascariensis
161,1,1,1,Pteropus_rufus,R_madagascariensis
181,1,1,1,Pteropus_rufus,R_madagascariensis
201,1,1,1,Pteropus_rufus,R_madagascariensis
221,1,1,1,Pteropus_rufus,R_madagascariensis
241,1,1,1,Pteropus_rufus,R_madagascariensis
261,1,0.82,0.48,Pteropus_rufus,R_madagascariensis
281,1,0.82,0.48,Pteropus_rufus,R_madagascariensis
301,1,0.81,0.59,Pteropus_rufus,R_madagascariensis
321,1,0.78,0.63,Pteropus_rufus,R_madagascariensis
341,1,0.79,0.62,Pteropus_rufus,R_madagascariensis
361,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
381,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
401,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
421,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
441,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
461,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
481,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
501,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
521,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
541,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
561,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
581,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
601,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
621,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
641,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
661,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
681,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
701,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
721,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
741,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
761,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
781,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
801,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
821,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
841,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
861,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
881,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
901,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
921,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
941,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
961,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
981,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1001,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1021,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1041,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1061,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1081,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1101,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1121,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1141,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1161,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1181,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1201,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1221,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1241,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1261,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1281,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1301,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1321,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1341,1,0.7,0.59,Pteropus_rufus,R_madagascariensis
1361,1,0.82,0.49,Pteropus_rufus,R_madagascariensis
1381,1,0.82,0.51,Pteropus_rufus,R_madagascariensis
1401,1,0.8,0.55,Pteropus_rufus,R_madagascariensis
1421,1,0.75,0.6,Pteropus_rufus,R_madagascariensis
1441,1,0.7,0.64,Pteropus_rufus,R_madagascariensis
1461,1,0.68,0.55,Pteropus_rufus,R_madagascariensis
1481,1,0.7,0.62,Pteropus_rufus,R_madagascariensis
1501,1,0.65,0.53,Pteropus_rufus,R_madagascariensis
1521,1,0.67,0.5,Pteropus_rufus,R_madagascariensis
1541,0.98,0.63,0.56,Pteropus_rufus,R_madagascariensis
1561,0.99,0.71,0.57,Pteropus_rufus,R_madagascariensis
1581,0.99,0.7,0.5,Pteropus_rufus,R_madagascariensis
1601,0.99,0.74,0.53,Pteropus_rufus,R_madagascariensis
1621,0.99,0.77,0.53,Pteropus_rufus,R_madagascariensis
1641,0.99,0.78,0.58,Pteropus_rufus,R_madagascariensis
1661,0.99,0.82,0.67,Pteropus_rufus,R_madagascariensis
1681,0.99,0.79,0.57,Pteropus_rufus,R_madagascariensis
1701,0.99,0.81,0.63,Pteropus_rufus,R_madagascariensis
1721,0.99,0.83,0.64,Pteropus_rufus,R_madagascariensis
1741,1,0.85,0.63,Pteropus_rufus,R_madagascariensis
1761,1,0.81,0.65,Pteropus_rufus,R_madagascariensis
1781,1,0.81,0.7,Pteropus_rufus,R_madagascariensis
1801,1,0.78,0.67,Pteropus_rufus,R_madagascariensis
1821,1,0.79,0.65,Pteropus_rufus,R_madagascariensis
1841,1,0.76,0.55,Pteropus_rufus,R_madagascariensis
1861,0.99,0.72,0.5,Pteropus_rufus,R_madagascariensis
