CenterPos,HKU9,Eidolon_helvum,Alternative,ID_Alternative,Query
100,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
120,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
140,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
160,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
180,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
200,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
220,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
240,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
260,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
280,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
300,99,1,0,Rousettus_madagascariensis,Pteropus_rufus
320,99,1,0,Rousettus_madagascariensis,Pteropus_rufus
340,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
360,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
380,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
400,99,1,0,Rousettus_madagascariensis,Pteropus_rufus
420,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
440,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
460,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
480,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
500,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
520,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
540,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
560,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
580,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
600,99,0,1,Rousettus_madagascariensis,Pteropus_rufus
620,93,0,7,Rousettus_madagascariensis,Pteropus_rufus
640,82,0,18,Rousettus_madagascariensis,Pteropus_rufus
660,96,0,4,Rousettus_madagascariensis,Pteropus_rufus
680,78,0,22,Rousettus_madagascariensis,Pteropus_rufus
700,79,0,21,Rousettus_madagascariensis,Pteropus_rufus
720,90,0,10,Rousettus_madagascariensis,Pteropus_rufus
740,83,1,16,Rousettus_madagascariensis,Pteropus_rufus
760,73,0,27,Rousettus_madagascariensis,Pteropus_rufus
780,98,0,2,Rousettus_madagascariensis,Pteropus_rufus
800,82,0,18,Rousettus_madagascariensis,Pteropus_rufus
820,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
840,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
860,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
880,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
900,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
920,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
940,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
960,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
980,99,1,0,Rousettus_madagascariensis,Pteropus_rufus
1000,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
1020,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
1040,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
1060,98,1,1,Rousettus_madagascariensis,Pteropus_rufus
1080,95,1,4,Rousettus_madagascariensis,Pteropus_rufus
1100,94,2,4,Rousettus_madagascariensis,Pteropus_rufus
1120,90,2,8,Rousettus_madagascariensis,Pteropus_rufus
1140,96,0,4,Rousettus_madagascariensis,Pteropus_rufus
1160,93,1,6,Rousettus_madagascariensis,Pteropus_rufus
1180,94,1,5,Rousettus_madagascariensis,Pteropus_rufus
1200,82,7,11,Rousettus_madagascariensis,Pteropus_rufus
1220,88,6,6,Rousettus_madagascariensis,Pteropus_rufus
1240,99,1,0,Rousettus_madagascariensis,Pteropus_rufus
1260,99,1,0,Rousettus_madagascariensis,Pteropus_rufus
1280,99,0,1,Rousettus_madagascariensis,Pteropus_rufus
1300,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
1320,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
1340,99,0,1,Rousettus_madagascariensis,Pteropus_rufus
1360,98,2,0,Rousettus_madagascariensis,Pteropus_rufus
1380,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
1400,100,0,0,Rousettus_madagascariensis,Pteropus_rufus
